id,level,word,meaning_en,meaning_tr,meaning_es,full_entry,article,pos,plural,forms,examples,page
b1_0395,B1,"behalten, behält, behielt,","keep, keep, kept","tutmak, tutmak, tutmak","mantener, mantener, mantener","behalten, behält, behielt,",,word,,hat behalten,Darf ich die Zeitschrift behalten?,24
b1_0396,B1,"behandeln, behandelt,","behandeln, behandelt,","tedavi etmek, tedavi etmek","tratar, tratado","behandeln, behandelt, 1.",,word,,,Welcher Arzt hat Sie bis jetzt,24
b1_0397,B1,"behandelte,",treated,işlem görmüş,tratado,"behandelte,",,word,,hat behandelt,behandelt? || So lasse ich mich von Ihnen nicht länger behandeln.,24
b1_0398,B1,"behaupten, behauptet,","claim, claims","iddia, iddialar","reclamo, reclamos","behaupten, behauptet, 1.",,word,,,"Er behauptet, unsere Meinung sei nicht",24
b1_0399,B1,"behauptete,",claimed,talep edildi,reclamado,"behauptete,",,word,,hat behauptet,"wichtig. || Es ist schwer, sich gegen meinen Kollegen zu behaupten.",24
b1_0400,B1,"behindern, behindert,","hinder, hinder","engellemek, engellemek","obstaculizar, obstaculizar","behindern, behindert, 1.",,word,,,"Bitte parken Sie so, dass Sie nieman-",24
b1_0401,B1,"behinderte, hat behindert","disabled, has disabled","devre dışı bırakıldı, devre dışı bırakıldı","discapacitado, ha discapacitado","behinderte, hat behindert",,word,,,den behindern.,24
b1_0402,B1,behindert,disabled,engelli,desactivado,behindert 2.,,word,,,Seit dem Unfall ist das Kind unserer Freunde behindert.,24
b1_0403,B1,"die Behörde, -n","the authority, -n","otorite, -n","la autoridad, -n","die Behörde, -n",die,noun,-n,,Sie erhalten ein Schreiben von der zuständigen Behörde.,24
b1_0404,B1,bei,at,en,en,bei 1.,,preposition,,,Potsdam liegt bei Berlin. || Ich wohne bei meinen Eltern. || Bei uns ist das anders als bei euch. || Wir essen kein Fleisch. || Ich habe kein Geld bei mir. || Wir wollen euch nicht beim Essen stören.,24
b1_0405,B1,beid-,both-,ikisi birden-,ambos-,beid- 1.,,word,,,"Beide waren mit meinem Vorschlag einverstanden. || Welche Bluse nehmen Sie, die rote oder die grüne? || – Ich nehme beide.",24
b1_0406,B1,"das Bein, -e","the leg, -e","bacak, -e","la pierna, -e","das Bein, -e",das,noun,-e,,Andreas hat sich das Bein gebrochen.,24
b1_0407,B1,beinahe,almost,neredeyse,casi,beinahe,,word,,,Ich habe heute beinahe den Bus verpasst.,24
b1_0408,B1,"das Beispiel, -e","the example, -e","örnek, -e","el ejemplo, -e","das Beispiel, -e 1.",das,noun,-e 1.,,"Können Sie mir ein Beispiel sagen? || Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen. || Hier gibt’s so viele Sachen: beispielsweise Wurst, Obst, Brot …",24
b1_0409,B1,"beißen, beißt, biss,","bite, bite, bite","ısırmak, ısırmak, ısırmak","muerde, muerde, muerde","beißen, beißt, biss,",,word,,hat gebissen,"Pass auf, dass dich der Hund nicht || beißt!",24
b1_0410,B1,"der Beitrag, ¨-e","the contribution, ¨-e","katkı, ¨-e","el aporte, ¨-e","der Beitrag, ¨-e 1.",der,noun,¨-e 1.,,Die Krankenkasse hat die Beiträge erhöht. || Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.,24
b1_0411,B1,bekannt,known,bilinen,conocido,bekannt 1.,,word,,,Ein Onkel von mir ist ein bekannter Politiker. || Dieses Lied ist sehr bekannt.,24
b1_0412,B1,"der Bekannte, -n","the acquaintance, -n","tanıdık, -n","el conocido, -n","der Bekannte, -n",der,noun,-n,,In Hannover wohnen Bekannte von,24
b1_0413,B1,"die Bekannte, -n","the acquaintance, -n","tanıdık, -n","el conocido, -n","die Bekannte, -n",die,noun,-n,,mir.,24
b1_0414,B1,"bekannt geben, gibt","announce, gives","duyurmak, vermek","anunciar, dar","bekannt geben, gibt",,word,,,Den Prüfungsort geben wir Ihnen noch,24
b1_0415,B1,"bekannt, gab bekannt, hat","announced, announced, has","bekannt, gab bekannt, hat","anunciado, anunciado, ha","bekannt, gab bekannt, hat",,word,,,rechtzeitig bekannt.,24
b1_0416,B1,bekannt gegeben,announced,duyuruldu,anunciado,bekannt gegeben,,verb,,,,24
b1_0417,B1,"bekommen, bekommt,","get, gets","al, alır","conseguir, consigue","bekommen, bekommt, 1.",,word,,,Haben Sie meinen Brief bekommen?,24
b1_0418,B1,"bekam, hat bekommen","got, got","aldım, aldım","tengo, tengo","bekam, hat bekommen 2.",,word,,,Ich bekomme jeden Tag eine Spritze. || Was bekommen Sie? || – 5 kg Kartoffeln. || Wir haben Besuch bekommen. || Laut Wetterbericht bekommen wir Regen. || Plötzlich bekam ich starke Kopfschmerzen.,24
b1_0419,B1,"der Beleg, -e","the receipt, -e","makbuz, -e","el recibo, -e","der Beleg, -e",der,noun,-e,,Brauchen Sie einen Beleg?,25
b1_0420,B1,"beleidigen, beleidigt,","insult, offend","hakaret etmek, gücendirmek","insultar, ofender","beleidigen, beleidigt, 1.",,word,,,Ich wollte Sie nicht beleidigen.,25
b1_0421,B1,"beleidigte, hat beleidigt","offended, offended","kırgın, kırgın","ofendido, ofendido","beleidigte, hat beleidigt 2.",,word,,,Sei doch nicht immer gleich beleidigt.,25
b1_0422,B1,beliebt,popular,popüler,popular,beliebt,,word,,,Dieses Spiel ist bei Jugendlichen sehr beliebt.,25
b1_0423,B1,"bemerken, bemerkt,","notice, noticed","dikkat, fark ettim","aviso, notado","bemerken, bemerkt,",,word,,,"Ich habe nicht bemerkt, dass das",25
b1_0424,B1,"bemerkte, hat bemerkt","noticed, noticed","fark ettim, farkettim","notado, notado","bemerkte, hat bemerkt",,word,,,Fenster offen ist.,25
b1_0425,B1,sich bemühen,make an effort,çaba göstermek,haz un esfuerzo,"sich bemühen, bemüht, 1.",,verb,,"bemüht, 1.","Er hat sich sehr bemüht, etwas Gutes",25
b1_0426,B1,"bemühte, hat bemüht","tried hard, tried hard","çok denedim, çok denedim","se esforzó mucho, se esforzó mucho","bemühte, hat bemüht",,word,,,zu kochen. || Ich werde mich um einen Termin bemühen.,25
b1_0427,B1,"benötigen, benötigt,","need, needed","ihtiyaç, ihtiyaç","necesidad, necesario","benötigen, benötigt,",,word,,,"Sagen Sie Bescheid, wenn Sie noch",25
b1_0428,B1,"benötigte, hat benötigt","needed, has needed","ihtiyaç vardı, ihtiyaç vardı","necesitaba, ha necesitado","benötigte, hat benötigt",,word,,,etwas benötigen.,25
b1_0429,B1,"benutzen, benutzt,","use, used","kullanım, kullanılmış","usar, usado","benutzen, benutzt,",,word,,,Benutzen Sie bitte die öffentlichen,25
b1_0430,B1,"benutzte, hat benutzt","used, has used","kullanılmış, kullanılmış","usado, ha usado","benutzte, hat benutzt",,word,,,Verkehrsmittel.,25
b1_0431,B1,das Benzin,the gasoline,benzin,la gasolina,das Benzin,das,noun,,,Das Benzin soll wieder teurer werden.,25
b1_0432,B1,"beobachten, beobachtet,","observe, observed","gözlemlemek, gözlemlemek","observar, observado","beobachten, beobachtet,",,word,,,Wer hat den Unfall beobachtet?,25
b1_0433,B1,"beobachtete,",observed,gözlemlendi,observado,"beobachtete,",,word,,hat beobachtet,,25
b1_0434,B1,bequem,comfortable,rahat,cómodo,bequem 1.,,word,,,Meine Kinder ziehen am liebsten bequeme Sachen an. || Im Supermarkt einkaufen ist sehr bequem. || Diesen Sessel finde ich sehr bequem.,25
b1_0435,B1,"beraten, berät, beriet,","advise, advise, advise","tavsiye etmek, tavsiye etmek, tavsiye etmek","aconsejar, aconsejar, aconsejar","beraten, berät, beriet,",,word,,hat beraten,"Unser Personal berät Sie gern, wenn || Sie Fragen haben.",25
b1_0436,B1,die Beratung,the advice,tavsiye,el consejo,die Beratung,die,noun,,,Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.,25
b1_0437,B1,"berechnen, berechnet,","calculate, calculated","hesaplamak, hesaplanmış","calcular, calculado","berechnen, berechnet,",,word,,,Die Kosten für die Fahrt müssen erst,25
b1_0438,B1,"berechnete, hat berechnet","calculated, has calculated","hesaplandı, hesaplandı","calculado, ha calculado","berechnete, hat berechnet",,word,,,berechnet werden.,25
b1_0439,B1,"der Bereich, -e","the area, -e","alan, -e","el área, -e","der Bereich, -e 1.",der,noun,-e 1.,,In welchem Bereich möchten Sie arbeiten? || Umfahren Sie den Baustellenbereich.,25
b1_0440,B1,bereit,ready,hazır,listo,bereit 1.,,word,,,"Ich bin jederzeit bereit, dir zu helfen. || Das Paket liegt auf der Post für Sie bereit.",25
b1_0441,B1,bereits,already,çoktan,ya,bereits,,word,,,Bitte melde dich bei Frau Kaiser. || Sie hat bereits dreimal angerufen.,25
b1_0442,B1,"der Berg, -e","the mountain, -e","dağ, -e","la montaña, -e","der Berg, -e 1.",der,noun,-e 1.,,Die Zugspitze ist der höchste Berg in Deutschland. || Wir fahren jeden Sonntag in die Berge. || Auf dem Berg haben wir ein Picknick gemacht.,25
b1_0443,B1,"berichten, berichtet,","report, report","rapor, rapor","informe, informe","berichten, berichtet,",,word,,,Alle Zeitungen haben über den Unfall,25
b1_0444,B1,"berichtete, hat berichtet","reported, has reported","bildirdi, bildirdi","reportado, ha reportado","berichtete, hat berichtet",,word,,,berichtet.,25
b1_0445,B1,"der Bericht, -e","the report, -e","rapor, -e","el informe, -e","der Bericht, -e",der,noun,-e,,Ich habe gestern einen interessanten Bericht gelesen.,25
b1_0446,B1,"der Beruf, -e","the profession, -e","meslek, -e","la profesión, -e","der Beruf, -e",der,noun,-e,,Was sind Sie von Beruf?,25
b1_0447,B1,beruflich,professionally,profesyonelce,profesionalmente,beruflich,,adjective,,,Was machen Sie beruflich?,25
b1_0448,B1,berufstätig,employed,çalışan,empleado,berufstätig,,adjective,,,Sind Sie berufstätig?,25
b1_0449,B1,"beruhigen, beruhigt,","calm down, calm down","sakin ol, sakin ol","cálmate, cálmate","beruhigen, beruhigt, 1.",,word,,,Beruhigen Sie sich bitte. || Es ist alles in,25
b1_0450,B1,"beruhigte, hat beruhigt","calmed down, calmed down","sakinleşti, sakinleşti","calmado, calmado","beruhigte, hat beruhigt",,word,,,Ordnung. || Ich kann Sie beruhigen. || Ihrem Sohn ist nichts passiert.,25
b1_0451,B1,berühmt,famous,ünlü,famoso,berühmt,,word,,,Michael Schumacher ist ein berühmter Rennfahrer.,25
b1_0452,B1,"beschädigen, beschädigt,","damage, damaged","hasar, hasarlı","daño, dañado","beschädigen, beschädigt,",,word,,,"Bitte machen Sie eine Liste davon, was",25
b1_0453,B1,"beschädigte,",damaged,hasarlı,dañado,"beschädigte,",,word,,hat beschädigt,die Einbrecher beschädigt haben.,25
b1_0454,B1,"beschäftigen, beschäftigt,","busy, busy","meşgul, meşgul","ocupado, ocupado","beschäftigen, beschäftigt, 1.",,word,,,Womit haben Sie sich bei Ihrer Arbeit,25
b1_0455,B1,"beschäftigte,",busy,Meşgul,ocupado,"beschäftigte,",,word,,hat beschäftigt,beschäftigt? || Seit wann sind Sie bei dieser Firma beschäftigt?,25
b1_0456,B1,die Beschäftigung,the employment,istihdam,el empleo,die Beschäftigung,die,noun,,,"Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.",25
b1_0457,B1,"der Bescheid, -e","the notice, -e","bildirim, -e","el aviso, -e","der Bescheid, -e",der,noun,-e,,Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,25
b1_0458,B1,Bescheid sagen,let me know,bana bildirin,hágamelo saber,Bescheid sagen,,noun,,,Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.,25
b1_0459,B1,Bescheid geben,Let me know,Bana bildirin,Hágamelo saber,Bescheid geben,,noun,,,Kannst du mir bis morgen Bescheid geben?,25
b1_0460,B1,"beschließen, beschließt,","decide, decide","beschließen, beschließt,","decidir, decidir","beschließen, beschließt,",,word,,,"Wir haben beschlossen, uns ein",25
b1_0461,B1,"beschloss,",decided,karar verilmiş,decidido,"beschloss,",,word,,hat beschlossen,kleineres Auto zu kaufen.,25
b1_0462,B1,beschränken,restrict,kısıtlamak,restringir,beschränken,,verb,,,Die Teilnehmerzahl für den Kurs ist beschränkt.,25
b1_0463,B1,"beschreiben, beschreibt,","describe, describes","tarif etmek, tarif etmek","describir, describe","beschreiben, beschreibt,",,word,,,Kannst du mir den Weg zum Flughafen,25
b1_0464,B1,"beschrieb,",described,tarif edildi,descrito,"beschrieb,",,word,,hat beschrieben,beschreiben?,25
b1_0465,B1,"die Beschreibung, -en","the description, -en","açıklama, -tr","la descripción, -es","die Beschreibung, -en",die,noun,-en,,Eine Beschreibung des Geräts liegt bei.,25
b1_0466,B1,sich beschweren,complain,şikayet etmek,quejarse,"sich beschweren,",,verb,,,Wo können wir uns beschweren?,25
b1_0467,B1,"beschwert sich,",complains,şikayet ediyor,se queja,"beschwert sich,",,word,,,,25
b1_0468,B1,"beschwerte sich,",complained,şikayet edildi,se quejó,"beschwerte sich,",,word,,hat sich beschwert,,25
b1_0469,B1,"besetzen, besetzt,","occupy, occupied","besetzen, besetzt,","ocupar, ocupado","besetzen, besetzt, 1.",,word,,,Dieser Platz ist besetzt.,26
b1_0470,B1,"besetzte, hat besetzt","occupied, has occupied","işgal etti, işgal etti","ocupado, ha ocupado","besetzte, hat besetzt 2.",,word,,,Ich habe drei Plätze besetzt. || Ich habe jetzt schon dreimal dort angerufen. || Es ist immer besetzt.,26
b1_0471,B1,"besichtigen, besichtigt,","visit, visited","ziyaret, ziyaret edildi","visita, visitado","besichtigen, besichtigt,",,word,,,Im Urlaub haben wir Schloss Schön-,26
b1_0472,B1,"besichtigte, hat besichtigt","visited, has visited","ziyaret etti, ziyaret etti","visitó, ha visitado","besichtigte, hat besichtigt",,word,,,brunn besichtigt.,26
b1_0473,B1,"besitzen, besitzt, besaß,","own, own, owned","kendi, sahip olunan, sahip olunan","propio, propio, poseído","besitzen, besitzt, besaß,",,word,,hat besessen,Besitzt Ihre Frau ein eigenes Auto?,26
b1_0474,B1,besonder-,special-,özel-,especial-,besonder-,,word,,,Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.,26
b1_0475,B1,besonders1.,especially1.,özellikle1.,especialmente1.,besonders1.,,word,,,Ich habe heute ein besonders günstiges Angebot gesehen. || Durch den Sturm gab es besonders in Süddeutschland schwere Schäden. || Wie geht’s? || – Nicht besonders.,26
b1_0476,B1,"besorgen, besorgt,","get, worried","al, endişelen","ponerse, preocupado","besorgen, besorgt,",,word,,,Soll ich die Eintrittskarten besorgen?,26
b1_0477,B1,"besorgte, hat besorgt","worried, has worried","endişeli, endişelendi","preocupado, se ha preocupado","besorgte, hat besorgt",,word,,,,26
b1_0478,B1,"besprechen, bespricht,","discuss, discuss","tartışmak, tartışmak","discutir, discutir","besprechen, bespricht,",,word,,,"Wir müssen noch genau besprechen,",26
b1_0479,B1,"besprach,",discussed,tartışıldı,discutido,"besprach,",,word,,hat besprochen,wann wir losfahren und was wir || mitnehmen.,26
b1_0480,B1,"die Besprechung, -en","the meeting, -en","toplantı, -tr","la reunión, -es","die Besprechung, -en",die,noun,-en,,"Tut mir leid, Herr Schmidt ist noch in einer Besprechung.",26
b1_0481,B1,die Besserung,the improvement,iyileşme,la mejora,die Besserung,die,noun,,,Gute Besserung!,26
b1_0482,B1,"bestätigen, bestätigt,","confirm, confirmed","onaylamak, teyit etmek","confirmar, confirmado","bestätigen, bestätigt, 1.",,word,,,Die Firma hat mir den Termin,26
b1_0483,B1,"bestätigte,",confirmed,onaylandı,confirmado,"bestätigte,",,word,,hat bestätigt,"schriftlich bestätigt. || Ich kann bestätigen, dass er hier war.",26
b1_0484,B1,"die Bestätigung, -en","the confirmation, -en","onay, -tr","la confirmación, -es","die Bestätigung, -en",die,noun,-en,,Ich brauche eine schriftliche Bestätigung für das Amt.,26
b1_0485,B1,"bestehen, besteht,","exist, exists","var, var","existe, existe","bestehen, besteht, 1.",,word,,,Das Modul Lesen besteht aus fünf,26
b1_0486,B1,bestand,existed,mevcut,existió,"bestand, hat bestanden",,verb,,hat bestanden,Teilen. || Ich habe die Prüfung bestanden!,26
b1_0487,B1,"bestellen, bestellt,","order, ordered","sipariş, sipariş","orden, ordenado","bestellen, bestellt, 1.",,word,,,Wir haben Pizza bestellt.,26
b1_0488,B1,"bestellte, hat bestellt","ordered, has ordered","sipariş etti, sipariş etti","ordenado, ha ordenado","bestellte, hat bestellt 2.",,word,,,Ich bin für 16 Uhr zum Vorstellungs- gespräch bestellt. || Ich soll Ihnen Grüße von Frau Meier bestellen.,26
b1_0489,B1,bestimmt,certainly,kesinlikle,ciertamente,bestimmt 1.,,word,,,Das hat Nancy bestimmt nicht so gemeint. || Möchtest du ein bestimmtes Brot?,26
b1_0490,B1,"bestrafen, bestraft,","punish, punished","cezalandırmak, cezalandırmak","castigar, castigar","bestrafen, bestraft,",,word,,,Zu schnelles Fahren wird streng,26
b1_0491,B1,"bestrafte, hat bestraft","punished, has punished","cezalandırdı, cezalandırdı","castigado, ha castigado","bestrafte, hat bestraft",,word,,,bestraft.,26
b1_0492,B1,"besuchen, besucht,","visit, visited","ziyaret, ziyaret edildi","visita, visitado","besuchen, besucht, 1.",,word,,,Besuchen Sie uns doch mal.,26
b1_0493,B1,"besuchte, hat besucht","visited, has visited","ziyaret etti, ziyaret etti","visitó, ha visitado","besuchte, hat besucht 2.",,word,,,Sie müssen noch einen Kurs besuchen.,26
b1_0494,B1,"der Besuch, -e1.","the visit, -e1.","ziyaret, -e1.","la visita, -e1.","der Besuch, -e1.",der,noun,-e1.,,Wir bekommen Besuch. || Ich mache einen Besuch im Kranken- haus. || Ich bin hier nur zu Besuch.,26
b1_0495,B1,sich beteiligen,participate,katılmak,participar,"sich beteiligen, beteiligt",,verb,,beteiligt,Wir wollen unserer Lehrerin ein,26
b1_0496,B1,"sich, beteiligte sich,","himself, took part","sich, beteiligte sich,","él mismo, participó","sich, beteiligte sich,",,word,,hat sich beteiligt,Geschenk kaufen. || Wer möchte sich || beteiligen?,26
b1_0497,B1,"der Betrag, ¨-e","the amount, ¨-e","miktar, ¨-e","la cantidad, ¨-e","der Betrag, ¨-e",der,noun,¨-e,,Bitte überweisen Sie den Betrag auf unser Konto.,26
b1_0498,B1,"betreuen, betreut,","look after, looked after","bakmak, bakmak","cuidar, cuidar","betreuen, betreut,",,word,,,Wer betreut bei Ihnen die Kinder?,26
b1_0499,B1,"betreute, hat betreut","cared for, cared for","bakımlı, bakımlı","cuidado, cuidado","betreute, hat betreut",,word,,,,26
b1_0500,B1,"der Betreuer, -","the supervisor, -","gözetmen, -","el supervisor, -","der Betreuer, -",der,noun,-,,Die Betreuerin der Kinder ist sehr nett.,26
b1_0501,B1,"die Betreuerin, -nen","the carer, -nen","bakıcı, -nen","el cuidador, -nen","die Betreuerin, -nen",die,noun,-nen,,,26
b1_0502,B1,die Betreuung,the care,bakım,el cuidado,die Betreuung,die,noun,,,Haben Sie eine Betreuung für Ihre Kinder?,26
b1_0503,B1,"der Betrieb, -e","the company, -e","şirket, -e","la empresa, -e","der Betrieb, -e 1.",der,noun,-e 1.,,In diesem Betrieb arbeiten zehn Leute. || Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb. || Der Aufzug ist in Betrieb/außer Betrieb.,26
b1_0504,B1,"der Betriebsrat, ¨-e","the works council, ¨-e","iş konseyi, ¨-e","el comité de empresa, ¨-e","der Betriebsrat, ¨-e",der,noun,¨-e,,Der Betriebsrat wird Sie über die,26
b1_0505,B1,"die Betriebsrätin, -nen","the works councilor, -nen","iş konseyi üyesi, -nen","el concejal de empresa, -nen","die Betriebsrätin, -nen",die,noun,-nen,,neuen Arbeitszeiten informieren.,26
b1_0506,B1,"betrügen, betrügt, betrog,","cheat, cheat, cheated","hile, hile, hile","engañar, engañar, engañar","betrügen, betrügt, betrog, 1.",,word,,hat betrogen,Ich würde meine Familie niemals || betrügen. || Die Rechnung stimmt nicht. || Der Kellner hat mich betrogen.,26
b1_0507,B1,betrunken,drunk,sarhoş,ebrio,betrunken,,verb,,,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.",26
b1_0508,B1,"das Bett, -en","the bed, -en","yatak, -tr",la cama,"das Bett, -en 1.",das,noun,-en 1.,,"Wir wollten uns neue Betten kaufen. || Solange Sie Fieber haben, müssen Sie im Bett bleiben.",26
b1_0509,B1,die Bevölkerung,the population,nüfus,la población,die Bevölkerung,die,noun,,,11 % der Bevölkerung wurden nicht im Inland geboren.,26
b1_0510,B1,bevor,before,önce,antes,bevor,,word,,,"Bevor wir gehen, möchte ich noch etwas essen.",26
b1_0511,B1,"bewegen, bewegt,","move, moved","hareket et, taşındı","moverse, movido","bewegen, bewegt, 1.",,word,,,Ich kann mich vor Schmerzen kaum,26
b1_0512,B1,"bewegte, hat bewegt","moved, has moved","taşındı, taşındı","se ha movido, se ha movido","bewegte, hat bewegt",,word,,,noch bewegen. || Ich kann meinen Finger nicht mehr bewegen.,26
b1_0513,B1,"die Bewegung, -en","the movement, -en","die Bewegung, -en","el movimiento, -es","die Bewegung, -en",die,noun,-en,,Sie brauchen mehr Bewegung. || Sie müssen regelmäßig spazieren gehen.,26
b1_0514,B1,"beweisen, beweist,","prove, prove","kanıtlamak, kanıtlamak","probar, probar","beweisen, beweist,",,word,,,"Wir können beweisen, dass Sie bei Rot",26
b1_0515,B1,bewies,proved,kanıtlandı,probado,"bewies, hat bewiesen",,verb,,hat bewiesen,über die Ampel gefahren sind.,26
b1_0516,B1,"der Beweis, -e","the proof, -e","kanıt, -e","la prueba, -e","der Beweis, -e",der,noun,-e,,Haben Sie dafür Beweise?,26
b1_0517,B1,sich bewerben,apply,uygula,aplicar,"sich bewerben, bewirbt 1.",,verb,,bewirbt 1.,Ich habe mich um diese Stelle,26
b1_0518,B1,"sich, bewarb sich,","himself, applied",kendisi başvurdu,"él mismo, aplicado","sich, bewarb sich,",,word,,hat sich beworben,beworben. || Ich habe mich als Kellner beworben.,26
b1_0519,B1,"die Bewerbung, -en1.","the application, -en1.","uygulama, -en1.","la aplicación, -en1.","die Bewerbung, -en1.",die,noun,-en1.,,Wohin soll ich meine Bewerbung schicken? || Hilfst du mir bei meiner Bewerbung?,26
b1_0520,B1,"der Bewohner, -","the resident, -","sakini, -","el residente, -","der Bewohner, -",der,noun,-,,Ich kenne die anderen Hausbewohner,27
b1_0521,B1,"die Bewohnerin, -nen","the resident, -nen","sakini, -nen","el residente, -nen","die Bewohnerin, -nen",die,noun,-nen,,nicht.,27
b1_0522,B1,"bezahlen, bezahlt,","pay, paid","ödeme, ödenmiş","pagar, pagado","bezahlen, bezahlt,",,word,,,Hast du die Rechnung schon bezahlt?,27
b1_0523,B1,"bezahlte, hat bezahlt","paid, has paid","ödedi, ödedi","pagado, ha pagado","bezahlte, hat bezahlt",,word,,,,27
b1_0524,B1,"die Beziehung, -en","the relationship, -en","ilişki, -tr","la relación, -es","die Beziehung, -en",die,noun,-en,,Wir haben gute Beziehungen zu unseren Nachbarn.,27
b1_0525,B1,"die Bibliothek, -en","the library, -en","kütüphane, -tr","la biblioteca, -es","die Bibliothek, -en",die,noun,-en,,Die Stadtbibliothek hat bereits geschlossen.,27
b1_0526,B1,das Bier,the beer,bira,la cerveza,das Bier,das,noun,,,"Ein Bier, bitte!",27
b1_0527,B1,"bieten, bietet, bot,","offer, offers, bot","teklif, teklifler, bot","oferta, ofertas, bot","bieten, bietet, bot, 1.",,word,,hat geboten,"Er hat mir für den alten Wagen noch || 800 Euro geboten. || Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.",27
b1_0528,B1,"das Bild, -er","the picture, -er","resim, -er","la foto, -eh","das Bild, -er",das,noun,-er,,Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,27
b1_0529,B1,"der Bildschirm, -e","the screen, -e","ekran, -e","la pantalla, -e","der Bildschirm, -e 1.",der,noun,-e 1.,,Ich brauche einen größeren Bildschirm für meinen Computer. || Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.,27
b1_0530,B1,"das Billett, -e/-s →D, A:","the ticket, -e/-s →D, A:","bilet, -e/-s →D, A:","el billete, -e/-s →D, A:","das Billett, -e/-s →D, A:",das,noun,"-e/-s →D, A:",,Ein Billett können Sie am Schalter,27
b1_0531,B1,Fahrkarte,ticket,bilet,boleto,Fahrkarte,,noun,,,kaufen.,27
b1_0532,B1,billig,cheap,ucuz,barato,billig,,adjective,,,Dieses Buch ist nicht ganz billig.,27
b1_0533,B1,die Biologie,the biology,biyoloji,la biología,die Biologie,die,noun,,,Meine Freundin studiert Biologie.,27
b1_0534,B1,Bio-,organic,organik,orgánico,Bio-,,noun,,,Ich kaufe nur noch Biogemüse.,27
b1_0535,B1,bio(logisch),organic(logical),organik(mantıksal),orgánico (lógico),bio(logisch),,word,,,Biologische Lebensmittel gibt es jetzt auch im Supermarkt.,27
b1_0536,B1,"die Birne, -n","the pear, -n","armut, -n","la pera, -n","die Birne, -n",die,noun,-n,,Möchten Sie Obst? || Die Birnen sind heute besonders schön.,27
b1_0537,B1,bis,until,değin,hasta,bis 1.,,word,,,"Die Linie 8 fährt nur bis zum Hauptbahnhof. || Bis wann können Sie bleiben? || Tschüs. || Bis gleich! || Einige Züge hatten bis zu zwei Stunden Verspätung. || Für die Renovierung brauchen wir drei bis vier Tage. || Warte hier, bis ich zurückkomme.",27
b1_0538,B1,bisher,until now,şimdiye kadar,hasta ahora,bisher,,word,,,Bisher ist alles in Ordnung.,27
b1_0539,B1,ein bisschen,a little bit,bir nebze,un poco,ein bisschen 1.,,word,,,"Wenn Sie ein bisschen warten, können wir zusammen gehen. || Möchten Sie noch ein bisschen Reis? || Können Sie bitte ein bisschen lauter sprechen? || Sprechen Sie Englisch? || – Ein bisschen.",27
b1_0540,B1,"bitten, bittet, bat,","ask, beg, beg","sor, yalvar, yalvar","pedir, suplicar, suplicar","bitten, bittet, bat,",,word,,hat gebeten,"Darf ich Sie bitten, kurz zuzuhören?",27
b1_0541,B1,"die Bitte, -n","the request, -n","istek, -n","la solicitud, -n","die Bitte, -n",die,noun,-n,,Ich habe eine Bitte. || Kann ich mal Ihr Handy benutzen?,27
b1_0542,B1,bitte1.,please1.,lütfen1.,por favor1.,bitte1.,,word,,,"Eine Tasse Kaffee, bitte! || Bitte schön! || Wie bitte? || Was haben Sie gesagt? || Sprechen Sie bitte langsam.",27
b1_0543,B1,bitter,bitter,acı,amargo,bitter,,word,,,Hast du Zucker? || Der Tee ist sehr bitter.,27
b1_0544,B1,blass,pale,solgun,pálido,blass,,word,,,Du siehst ganz blass aus. || Bist du krank?,27
b1_0545,B1,"das Blatt, ¨-er","the leaf, ¨-er","yaprak, ¨-er","la hoja, ¨-er","das Blatt, ¨-er 1.",das,noun,¨-er 1.,,Die Bäume bekommen schon gelbe Blätter. || Haben Sie ein Blatt Papier für mich?,27
b1_0546,B1,"bleiben, bleibt, blieb,","stay, stay, stayed","kal, kal, kaldı","quédate, quédate, quédate","bleiben, bleibt, blieb, 1.",,word,,ist geblieben,Ich bleibe heute zu Hause. || Im Juni und Juli bleibt unser Geschäft samstags geschlossen. || Bleiben Sie bitte am Apparat. || Bleiben Sie doch sitzen! || Wir bleiben nur bis morgen.,27
b1_0547,B1,"der Bleistift, -e","the pencil, -e","kalem, -e","el lápiz, -e","der Bleistift, -e",der,noun,-e,,Hast du einen Bleistift für mich?,27
b1_0548,B1,"der Blick, -e","the look, -e","görünüş, -e","la mirada, -e","der Blick, -e",der,noun,-e,,Von hier hat man einen tollen Blick über die Stadt.,27
b1_0549,B1,blind,blind,kör,ciego,blind,,word,,,Er ist von Geburt an blind.,27
